,amco,name,year,Alfabetisme,Onderwijsuitgaven in guldens
0,10002,Zuidlaren,1869,,1831.0
1,10002,Zuidlaren,1870,,1698.0
2,10002,Zuidlaren,1887,,4654.0
3,10002,Zuidlaren,1888,,4765.0
4,10002,Zuidlaren,1889,,
5,10002,Zuidlaren,1890,,
6,10004,Zijpe,1869,,18478.0
7,10004,Zijpe,1870,,9461.0
8,10004,Zijpe,1887,,15055.0
9,10004,Zijpe,1888,,14513.0
10,10004,Zijpe,1889,,
11,10004,Zijpe,1890,,
12,10005,Opsterland,1869,,14758.0
13,10005,Opsterland,1870,,14995.0
14,10005,Opsterland,1887,92.0,102330.0
15,10005,Opsterland,1888,88.0,41519.0
16,10005,Opsterland,1889,95.0,
17,10005,Opsterland,1890,93.0,
18,10006,Baardwijk,1869,,1121.0
19,10006,Baardwijk,1870,,1102.0
20,10006,Baardwijk,1887,,2631.0
21,10006,Baardwijk,1888,,2365.0
22,10006,Baardwijk,1889,,
23,10006,Baardwijk,1890,,
24,10007,Vaals,1869,,1411.0
25,10007,Vaals,1870,,1360.0
26,10007,Vaals,1887,,3618.0
27,10007,Vaals,1888,,6596.0
28,10007,Vaals,1889,,
29,10007,Vaals,1890,,
30,10008,Nieuweschans,1869,,1323.0
31,10008,Nieuweschans,1870,,1457.0
32,10008,Nieuweschans,1887,,4276.0
33,10008,Nieuweschans,1888,,3897.0
34,10008,Nieuweschans,1889,,
35,10008,Nieuweschans,1890,,
36,10009,Oostvoorne,1869,,2092.0
37,10009,Oostvoorne,1870,,2120.0
38,10009,Oostvoorne,1887,,4243.0
39,10009,Oostvoorne,1888,,4065.0
40,10009,Oostvoorne,1889,,
41,10009,Oostvoorne,1890,,
42,10009,Westvoorne,1869,,
43,10009,Westvoorne,1870,,
44,10009,Westvoorne,1887,,
45,10009,Westvoorne,1888,,
46,10009,Westvoorne,1889,,
47,10009,Westvoorne,1890,,
48,10010,Eethen,1869,,
49,10010,Eethen,1870,,
50,10010,Eethen,1887,,
51,10010,Eethen,1888,,
52,10010,Eethen,1889,,
53,10010,Eethen,1890,,
54,10010,Genderen,1869,,1902.0
55,10010,Genderen,1870,,1912.0
56,10010,Genderen,1887,,2999.0
57,10010,Genderen,1888,,3052.0
58,10011,Luyksgestel,1869,,564.0
59,10011,Luyksgestel,1870,,547.0
60,10011,Luyksgestel,1887,,1553.0
61,10011,Luyksgestel,1888,,1473.0
62,10011,Luyksgestel,1889,,
63,10011,Luyksgestel,1890,,
64,10015,Veen,1869,,1025.0
65,10015,Veen,1870,,1091.0
66,10015,Veen,1887,,1890.0
67,10015,Veen,1888,,1809.0
68,10015,Veen,1889,,
69,10015,Veen,1890,,
70,10017,Voorhout,1869,,1824.0
71,10017,Voorhout,1870,,1090.0
72,10017,Voorhout,1887,,2574.0
73,10017,Voorhout,1888,,2645.0
74,10017,Voorhout,1889,,
75,10017,Voorhout,1890,,
76,10019,Monster,1869,,4364.0
77,10019,Monster,1870,,4411.0
78,10019,Monster,1887,,9710.0
79,10019,Monster,1888,,9549.0
80,10019,Monster,1889,,
81,10019,Monster,1890,,
82,10020,Rimburg,1869,,461.0
83,10020,Rimburg,1870,,472.0
84,10021,Zuidhorn,1869,,2205.0
85,10021,Zuidhorn,1870,,2425.0
86,10021,Zuidhorn,1887,87.0,5303.0
87,10021,Zuidhorn,1888,87.0,5505.0
88,10021,Zuidhorn,1889,89.0,
89,10021,Zuidhorn,1890,92.0,
90,10022,Haskerland,1869,,7609.0
91,10022,Haskerland,1870,,7793.0
92,10022,Haskerland,1887,,23697.0
93,10022,Haskerland,1888,,22252.0
94,10022,Haskerland,1889,,
95,10022,Haskerland,1890,,
96,10022,Scharsterland,1869,,
97,10022,Scharsterland,1870,,
98,10022,Scharsterland,1887,,
99,10022,Scharsterland,1888,,
100,10022,Scharsterland,1889,,
101,10022,Scharsterland,1890,,
102,10022,Skarsterlan,1869,,
103,10022,Skarsterlan,1870,,
104,10022,Skarsterlan,1887,,
105,10022,Skarsterlan,1888,,
106,10022,Skarsterlan,1889,,
107,10022,Skarsterlan,1890,,
108,10023,Cuijk En St Agatha,1869,,3540.0
109,10023,Cuijk En St Agatha,1870,,3095.0
110,10023,Cuijk En St Agatha,1887,,4559.0
111,10023,Cuijk En St Agatha,1888,,4162.0
112,10023,Cuijk En St Agatha,1889,,
113,10023,Cuijk En St Agatha,1890,,
114,10024,Lithoijen,1869,,735.0
115,10024,Lithoijen,1870,,698.0
116,10024,Lithoijen,1887,,1429.0
117,10024,Lithoijen,1888,,1471.0
118,10024,Lithoijen,1889,,
119,10024,Lithoijen,1890,,
120,10027,Tiel,1869,,16509.0
121,10027,Tiel,1870,,8028.0
122,10027,Tiel,1887,84.0,27886.0
123,10027,Tiel,1888,85.0,26297.0
124,10027,Tiel,1889,85.0,
125,10027,Tiel,1890,87.0,
126,10028,Valkenburg Zh,1869,,679.0
127,10028,Valkenburg Zh,1870,,664.0
128,10028,Valkenburg Zh,1887,,1717.0
129,10028,Valkenburg Zh,1888,,2142.0
130,10028,Valkenburg Zh,1889,,
131,10028,Valkenburg Zh,1890,,
132,10029,Koudekerk Aan Den Rijn,1869,,2418.0
133,10029,Koudekerk Aan Den Rijn,1870,,2338.0
134,10029,Koudekerk Aan Den Rijn,1887,,3631.0
135,10029,Koudekerk Aan Den Rijn,1888,,3463.0
136,10029,Koudekerk Aan Den Rijn,1889,,
137,10029,Koudekerk Aan Den Rijn,1890,,
138,10030,Brouwershaven,1869,,2521.0
139,10030,Brouwershaven,1870,,2846.0
140,10030,Brouwershaven,1887,,5078.0
141,10030,Brouwershaven,1888,,4427.0
142,10030,Brouwershaven,1889,,
143,10030,Brouwershaven,1890,,
144,10031,Pijnacker,1869,,2157.0
145,10031,Pijnacker,1870,,2635.0
146,10031,Pijnacker,1887,,3054.0
147,10031,Pijnacker,1888,,2984.0
148,10031,Pijnacker,1889,,
149,10031,Pijnacker,1890,,
150,10033,Montfoort,1869,,1455.0
151,10033,Montfoort,1870,,1468.0
152,10033,Montfoort,1887,,3819.0
153,10033,Montfoort,1888,,3867.0
154,10033,Montfoort,1889,,
155,10033,Montfoort,1890,,
156,10035,Tienhoven U,1869,,1074.0
157,10035,Tienhoven U,1870,,1111.0
158,10035,Tienhoven U,1887,,939.0
159,10035,Tienhoven U,1888,,1434.0
160,10035,Tienhoven U,1889,,
161,10035,Tienhoven U,1890,,
162,10036,Gaasterlan-Sleat,1869,,
163,10036,Gaasterlan-Sleat,1870,,
164,10036,Gaasterlan-Sleat,1887,,
165,10036,Gaasterlan-Sleat,1888,,
166,10036,Gaasterlan-Sleat,1889,,
167,10036,Gaasterlan-Sleat,1890,,
168,10036,Gaasterland,1869,,7800.0
169,10036,Gaasterland,1870,,6390.0
170,10036,Gaasterland,1887,,15010.0
171,10036,Gaasterland,1888,,15290.0
172,10036,Gaasterland,1889,,
173,10036,Gaasterland,1890,,
174,10037,Gameren,1869,,1244.0
175,10037,Gameren,1870,,1236.0
176,10037,Gameren,1887,,3033.0
177,10037,Gameren,1888,,7075.0
178,10037,Gameren,1889,,
179,10037,Gameren,1890,,
180,10038,Hoek,1869,,1464.0
181,10038,Hoek,1870,,1563.0
182,10038,Hoek,1887,,3460.0
183,10038,Hoek,1888,,3675.0
184,10038,Hoek,1889,,
185,10038,Hoek,1890,,
186,10040,Zonnemaire,1869,,1518.0
187,10040,Zonnemaire,1870,,1421.0
188,10040,Zonnemaire,1887,,3064.0
189,10040,Zonnemaire,1888,,2788.0
190,10040,Zonnemaire,1889,,
191,10040,Zonnemaire,1890,,
192,10042,Wamel,1869,,3585.0
193,10042,Wamel,1870,,3509.0
194,10042,Wamel,1887,,6034.0
195,10042,Wamel,1888,,5614.0
196,10042,Wamel,1889,,
197,10042,Wamel,1890,,
198,10042,West Maas En Waal,1869,,
199,10042,West Maas En Waal,1870,,
200,10042,West Maas En Waal,1887,,
201,10042,West Maas En Waal,1888,,
202,10042,West Maas En Waal,1889,,
203,10042,West Maas En Waal,1890,,
204,10043,Borsele,1869,,1038.0
205,10043,Borsele,1870,,916.0
206,10043,Borsele,1887,,2318.0
207,10043,Borsele,1888,,2227.0
208,10043,Borsele,1889,,
209,10043,Borsele,1890,,
210,10045,Sevenum,1869,,1225.0
211,10045,Sevenum,1870,,1307.0
212,10045,Sevenum,1887,,2390.0
213,10045,Sevenum,1888,,2377.0
214,10045,Sevenum,1889,,
215,10045,Sevenum,1890,,
216,10046,Zevenbergen,1869,,4142.0
217,10046,Zevenbergen,1870,,4201.0
218,10046,Zevenbergen,1887,76.0,9146.0
219,10046,Zevenbergen,1888,75.0,8172.0
220,10046,Zevenbergen,1889,86.0,
221,10046,Zevenbergen,1890,75.0,
222,10047,"Soerendonk, Sterksel En Gastel",1869,,495.0
223,10047,"Soerendonk, Sterksel En Gastel",1870,,507.0
224,10047,"Soerendonk, Sterksel En Gastel",1887,,1510.0
225,10047,"Soerendonk, Sterksel En Gastel",1888,,1489.0
226,10047,"Soerendonk, Sterksel En Gastel",1889,,
227,10047,"Soerendonk, Sterksel En Gastel",1890,,
228,10048,Geleen,1869,,1423.0
229,10048,Geleen,1870,,1996.0
230,10048,Geleen,1887,,2972.0
231,10048,Geleen,1888,,3158.0
232,10048,Geleen,1889,,
233,10048,Geleen,1890,,
234,10049,Huisseling En Neerloon,1869,,829.0
235,10049,Huisseling En Neerloon,1870,,867.0
236,10049,Huisseling En Neerloon,1887,,1636.0
237,10049,Huisseling En Neerloon,1888,,1572.0
238,10049,Huisseling En Neerloon,1889,,
239,10049,Huisseling En Neerloon,1890,,
240,10050,Lekkerkerk,1869,,3795.0
241,10050,Lekkerkerk,1870,,3734.0
242,10050,Lekkerkerk,1887,,9398.0
243,10050,Lekkerkerk,1888,,10901.0
244,10050,Lekkerkerk,1889,,
245,10050,Lekkerkerk,1890,,
246,10050,Nederlek,1869,,
247,10050,Nederlek,1870,,
248,10050,Nederlek,1887,,
249,10050,Nederlek,1888,,
250,10050,Nederlek,1889,,
251,10050,Nederlek,1890,,
252,10052,'S Gravendeel,1869,,4079.0
253,10052,'S Gravendeel,1870,,4003.0
254,10052,'S Gravendeel,1887,,7126.0
255,10052,'S Gravendeel,1888,,7403.0
256,10052,'S Gravendeel,1889,,
257,10052,'S Gravendeel,1890,,
258,10053,Cromvoirt,1869,,546.0
259,10053,Cromvoirt,1870,,582.0
260,10053,Cromvoirt,1887,,1121.0
261,10053,Cromvoirt,1888,,1928.0
262,10053,Cromvoirt,1889,,
263,10053,Cromvoirt,1890,,
264,10054,Den Bosch,1869,,22034.0
265,10054,Den Bosch,1870,,22076.0
266,10054,Den Bosch,1887,81.0,59411.0
267,10054,Den Bosch,1888,85.0,18297.0
268,10054,Den Bosch,1889,88.0,
269,10054,Den Bosch,1890,93.0,
270,10055,Noordwelle,1869,,756.0
271,10055,Noordwelle,1870,,750.0
272,10055,Noordwelle,1887,,1870.0
273,10055,Noordwelle,1888,,1859.0
274,10055,Noordwelle,1889,,
275,10055,Noordwelle,1890,,
276,10056,Besoijen,1869,,1172.0
277,10056,Besoijen,1870,,1686.0
278,10056,Besoijen,1887,,1908.0
279,10056,Besoijen,1888,,2167.0
280,10056,Besoijen,1889,,
281,10056,Besoijen,1890,,
282,10057,Deil,1869,,2212.0
283,10057,Deil,1870,,2226.0
284,10057,Deil,1887,,5366.0
285,10057,Deil,1888,,5543.0
286,10057,Deil,1889,,
287,10057,Deil,1890,,
288,10058,Leiderdorp,1869,,2414.0
289,10058,Leiderdorp,1870,,2265.0
290,10058,Leiderdorp,1887,,2988.0
291,10058,Leiderdorp,1888,,3128.0
292,10058,Leiderdorp,1889,,
293,10058,Leiderdorp,1890,,
294,10059,Zuilen,1869,,1429.0
295,10059,Zuilen,1870,,1239.0
296,10059,Zuilen,1887,,12545.0
297,10059,Zuilen,1888,,1842.0
298,10059,Zuilen,1889,,
299,10059,Zuilen,1890,,
300,10060,Baarle Nassau,1869,,1153.0
301,10060,Baarle Nassau,1870,,1232.0
302,10060,Baarle Nassau,1887,,2860.0
303,10060,Baarle Nassau,1888,,2723.0
304,10060,Baarle Nassau,1889,,
305,10060,Baarle Nassau,1890,,
306,10062,Amstenrade,1869,,524.0
307,10062,Amstenrade,1870,,438.0
308,10062,Amstenrade,1887,,1096.0
309,10062,Amstenrade,1888,,1348.0
310,10062,Amstenrade,1889,,
311,10062,Amstenrade,1890,,
312,10063,Spanbroek,1869,,2207.0
313,10063,Spanbroek,1870,,2326.0
314,10063,Spanbroek,1887,,5053.0
315,10063,Spanbroek,1888,,5181.0
316,10063,Spanbroek,1889,,
317,10063,Spanbroek,1890,,
318,10064,Schoonebeek,1887,,38040.0
319,10064,Schoonebeek,1888,,4009.0
320,10064,Schoonebeek,1889,,
321,10064,Schoonebeek,1890,,
322,10065,Hoeven,1869,,1249.0
323,10065,Hoeven,1870,,829.0
324,10065,Hoeven,1887,,2562.0
325,10065,Hoeven,1888,,3052.0
326,10065,Hoeven,1889,,
327,10065,Hoeven,1890,,
328,10066,Vierlingsbeek,1869,,1485.0
329,10066,Vierlingsbeek,1870,,1476.0
330,10066,Vierlingsbeek,1887,,2694.0
331,10066,Vierlingsbeek,1888,,2589.0
332,10066,Vierlingsbeek,1889,,
333,10066,Vierlingsbeek,1890,,
334,10067,Heerewaarden,1869,,1063.0
335,10067,Heerewaarden,1870,,1095.0
336,10067,Heerewaarden,1887,,2672.0
337,10067,Heerewaarden,1888,,2657.0
338,10067,Heerewaarden,1889,,
339,10067,Heerewaarden,1890,,
340,10068,Druten,1869,,7187.0
341,10068,Druten,1870,,3404.0
342,10068,Druten,1887,,8225.0
343,10068,Druten,1888,,7941.0
344,10068,Druten,1889,,
345,10068,Druten,1890,,
346,10069,Doornspijk,1869,,1938.0
347,10069,Doornspijk,1870,,1753.0
348,10069,Doornspijk,1887,,6418.0
349,10069,Doornspijk,1888,,5481.0
350,10069,Doornspijk,1889,,
351,10069,Doornspijk,1890,,
352,10071,Veldhoven,1869,,976.0
353,10071,Veldhoven,1870,,1001.0
354,10071,Veldhoven,1887,,2185.0
355,10071,Veldhoven,1888,,2185.0
356,10071,Veldhoven,1889,,
357,10071,Veldhoven,1890,,
358,10071,Veldhoven En Meerveldhoven,1869,,
359,10071,Veldhoven En Meerveldhoven,1870,,
360,10071,Veldhoven En Meerveldhoven,1887,,
361,10071,Veldhoven En Meerveldhoven,1888,,
362,10071,Veldhoven En Meerveldhoven,1889,,
363,10071,Veldhoven En Meerveldhoven,1890,,
364,10072,Millingen Aan De Rijn,1869,,768.0
365,10072,Millingen Aan De Rijn,1870,,803.0
366,10072,Millingen Aan De Rijn,1887,,2423.0
367,10072,Millingen Aan De Rijn,1888,,2459.0
368,10072,Millingen Aan De Rijn,1889,,
369,10072,Millingen Aan De Rijn,1890,,
370,10073,Nieuwe Niedorp,1869,,2108.0
371,10073,Nieuwe Niedorp,1870,,2012.0
372,10073,Nieuwe Niedorp,1887,,7348.0
373,10073,Nieuwe Niedorp,1888,,6331.0
374,10073,Nieuwe Niedorp,1889,,
375,10073,Nieuwe Niedorp,1890,,
376,10075,Noord-Scharwoude,1869,,1320.0
377,10075,Noord-Scharwoude,1870,,9757.0
378,10075,Noord-Scharwoude,1887,,2830.0
379,10075,Noord-Scharwoude,1888,,7162.0
380,10075,Noord-Scharwoude,1889,,
381,10075,Noord-Scharwoude,1890,,
382,10076,Goor,1869,,2463.0
383,10076,Goor,1870,,2569.0
384,10076,Goor,1887,,11340.0
385,10076,Goor,1888,,11167.0
386,10076,Goor,1889,,
387,10076,Goor,1890,,
388,10077,Kruiningen,1869,,1556.0
389,10077,Kruiningen,1870,,1848.0
390,10077,Kruiningen,1887,,8025.0
391,10077,Kruiningen,1888,,8080.0
392,10077,Kruiningen,1889,,
393,10077,Kruiningen,1890,,
394,10077,Reimerswaal,1869,,
395,10077,Reimerswaal,1870,,
396,10077,Reimerswaal,1887,,
397,10077,Reimerswaal,1888,,
398,10077,Reimerswaal,1889,,
399,10077,Reimerswaal,1890,,
400,10078,Werkendam,1869,,1552.0
401,10078,Werkendam,1870,,1720.0
402,10078,Werkendam,1887,,6273.0
403,10078,Werkendam,1888,,6134.0
404,10078,Werkendam,1889,,
405,10078,Werkendam,1890,,
406,10079,Arkel,1869,,968.0
407,10079,Arkel,1870,,755.0
408,10079,Arkel,1887,,1817.0
409,10079,Arkel,1888,,1698.0
410,10079,Arkel,1889,,
411,10079,Arkel,1890,,
412,10080,Sappemeer,1869,,4415.0
413,10080,Sappemeer,1870,,5033.0
414,10080,Sappemeer,1887,,9876.0
415,10080,Sappemeer,1888,,9355.0
416,10080,Sappemeer,1889,,
417,10080,Sappemeer,1890,,
418,10081,Waddinxveen,1869,,
419,10081,Waddinxveen,1870,,3374.0
420,10081,Waddinxveen,1887,,7839.0
421,10081,Waddinxveen,1888,,7710.0
422,10081,Waddinxveen,1889,,
423,10081,Waddinxveen,1890,,
424,10081,Zuid-Waddinxveen,1869,,624.0
425,10081,Zuid-Waddinxveen,1870,,
426,10081,Zuid-Waddinxveen,1887,,
427,10081,Zuid-Waddinxveen,1888,,
428,10081,Zuid-Waddinxveen,1889,,
429,10081,Zuid-Waddinxveen,1890,,
430,10082,Waarde,1869,,716.0
431,10082,Waarde,1870,,713.0
432,10082,Waarde,1887,,2320.0
433,10082,Waarde,1888,,2261.0
434,10082,Waarde,1889,,
435,10082,Waarde,1890,,
436,10083,Boxtel,1869,,2343.0
437,10083,Boxtel,1870,,2339.0
438,10083,Boxtel,1887,,5591.0
439,10083,Boxtel,1888,,5557.0
440,10083,Boxtel,1889,,
441,10083,Boxtel,1890,,
442,10085,Gorssel,1869,,2993.0
443,10085,Gorssel,1870,,3037.0
444,10085,Gorssel,1887,,8855.0
445,10085,Gorssel,1888,,8808.0
446,10085,Gorssel,1889,,
447,10085,Gorssel,1890,,
448,10086,Doniawerstal,1869,,6355.0
449,10086,Doniawerstal,1870,,5823.0
450,10086,Doniawerstal,1887,,16433.0
451,10086,Doniawerstal,1888,,13027.0
452,10086,Doniawerstal,1889,,
453,10086,Doniawerstal,1890,,
454,10087,Stellendam,1869,,1122.0
455,10087,Stellendam,1870,,1176.0
456,10087,Stellendam,1887,,3231.0
457,10087,Stellendam,1888,,3135.0
458,10087,Stellendam,1889,,
459,10087,Stellendam,1890,,
460,10088,Nieuwenhagen,1869,,453.0
461,10088,Nieuwenhagen,1870,,445.0
462,10088,Nieuwenhagen,1887,,1190.0
463,10088,Nieuwenhagen,1888,,1431.0
464,10088,Nieuwenhagen,1889,,
465,10088,Nieuwenhagen,1890,,
466,10089,Hof Van Delft,1869,,830.0
467,10089,Hof Van Delft,1870,,1050.0
468,10089,Hof Van Delft,1887,,13207.0
469,10089,Hof Van Delft,1888,,5546.0
470,10089,Hof Van Delft,1889,,
471,10089,Hof Van Delft,1890,,
472,10091,Nibbixwoud,1869,,4122.0
473,10091,Nibbixwoud,1870,,2631.0
474,10091,Nibbixwoud,1887,,4790.0
475,10091,Nibbixwoud,1888,,4767.0
476,10091,Nibbixwoud,1889,,
477,10091,Nibbixwoud,1890,,
478,10092,Nieuw Beijerland,1869,,1827.0
479,10092,Nieuw Beijerland,1870,,1873.0
480,10092,Nieuw Beijerland,1887,,4316.0
481,10092,Nieuw Beijerland,1888,,4468.0
482,10092,Nieuw Beijerland,1889,,
483,10092,Nieuw Beijerland,1890,,
484,10093,Zwolle,1869,,19039.0
485,10093,Zwolle,1870,,24922.0
486,10093,Zwolle,1887,95.0,76800.0
487,10093,Zwolle,1888,96.0,77081.0
488,10093,Zwolle,1889,96.0,
489,10093,Zwolle,1890,90.0,
490,10094,Nistelrode,1869,,1309.0
491,10094,Nistelrode,1870,,1345.0
492,10094,Nistelrode,1887,,2050.0
493,10094,Nistelrode,1888,,2083.0
494,10094,Nistelrode,1889,,
495,10094,Nistelrode,1890,,
496,10095,Ouderkerk,1869,,
497,10095,Ouderkerk,1870,,
498,10095,Ouderkerk,1887,,
499,10095,Ouderkerk,1888,,
500,10095,Ouderkerk,1889,,
501,10095,Ouderkerk,1890,,
502,10095,Ouderkerk Aan Den Ijssel,1869,,2904.0
503,10095,Ouderkerk Aan Den Ijssel,1870,,2596.0
504,10095,Ouderkerk Aan Den Ijssel,1887,,5680.0
505,10095,Ouderkerk Aan Den Ijssel,1888,,5762.0
506,10095,Ouderkerk Aan Den Ijssel,1889,,
507,10095,Ouderkerk Aan Den Ijssel,1890,,
508,10096,Zeelst,1869,,607.0
509,10096,Zeelst,1870,,631.0
510,10096,Zeelst,1887,,1424.0
511,10096,Zeelst,1888,,1427.0
512,10096,Zeelst,1889,,
513,10096,Zeelst,1890,,
514,10097,Ottoland,1869,,791.0
515,10097,Ottoland,1870,,1659.0
516,10097,Ottoland,1887,,1767.0
517,10097,Ottoland,1888,,1714.0
518,10097,Ottoland,1889,,
519,10097,Ottoland,1890,,
520,10098,Laren Gld,1869,,5940.0
521,10098,Laren Gld,1870,,4485.0
522,10098,Laren Gld,1887,,10972.0
523,10098,Laren Gld,1888,,10816.0
524,10098,Laren Gld,1889,,
525,10098,Laren Gld,1890,,
526,10099,Putte,1869,,1070.0
527,10099,Putte,1870,,1062.0
528,10099,Putte,1887,,1696.0
529,10099,Putte,1888,,1653.0
530,10099,Putte,1889,,
531,10099,Putte,1890,,
532,10100,Stoppeldijk,1869,,1592.0
533,10100,Stoppeldijk,1870,,1669.0
534,10100,Stoppeldijk,1887,,5494.0
535,10100,Stoppeldijk,1888,,3793.0
536,10100,Stoppeldijk,1889,,
537,10100,Stoppeldijk,1890,,
538,10100,Vogelwaarde,1869,,
539,10100,Vogelwaarde,1870,,
540,10100,Vogelwaarde,1887,,
541,10100,Vogelwaarde,1888,,
542,10100,Vogelwaarde,1889,,
543,10100,Vogelwaarde,1890,,
544,10101,Geertruidenberg,1869,,2060.0
545,10101,Geertruidenberg,1870,,2033.0
546,10101,Geertruidenberg,1887,,3812.0
547,10101,Geertruidenberg,1888,,3502.0
548,10101,Geertruidenberg,1889,,
549,10101,Geertruidenberg,1890,,
550,10102,Ellemeet,1869,,824.0
551,10102,Ellemeet,1870,,831.0
552,10102,Ellemeet,1887,,1590.0
553,10102,Ellemeet,1888,,1591.0
554,10102,Ellemeet,1889,,
555,10102,Ellemeet,1890,,
556,10103,Oisterwijk,1869,,1950.0
557,10103,Oisterwijk,1870,,1430.0
558,10103,Oisterwijk,1887,,3775.0
559,10103,Oisterwijk,1888,,3624.0
560,10103,Oisterwijk,1889,,
561,10103,Oisterwijk,1890,,
562,10104,Nuth,1869,,626.0
563,10104,Nuth,1870,,772.0
564,10104,Nuth,1887,,1419.0
565,10104,Nuth,1888,,1389.0
566,10104,Nuth,1889,,
567,10104,Nuth,1890,,
568,10105,Wanneperveen,1869,,1410.0
569,10105,Wanneperveen,1870,,1573.0
570,10105,Wanneperveen,1887,,12209.0
571,10105,Wanneperveen,1888,,3545.0
572,10105,Wanneperveen,1889,,
573,10105,Wanneperveen,1890,,
574,10106,Sint Laurens,1869,,827.0
575,10106,Sint Laurens,1870,,797.0
576,10106,Sint Laurens,1887,,1763.0
577,10106,Sint Laurens,1888,,1827.0
578,10106,Sint Laurens,1889,,
579,10106,Sint Laurens,1890,,
580,10111,Drongelen,1869,,1099.0
581,10111,Drongelen,1870,,1125.0
582,10111,Drongelen,1887,,1362.0
583,10111,Drongelen,1888,,1700.0
584,10111,Drongelen,1889,,
585,10111,Drongelen,1890,,
586,10114,Oudenrijn,1869,,353.0
587,10114,Oudenrijn,1870,,409.0
588,10114,Oudenrijn,1887,,906.0
589,10114,Oudenrijn,1888,,833.0
590,10114,Oudenrijn,1889,,
591,10114,Oudenrijn,1890,,
592,10115,Hasselt,1869,,4048.0
593,10115,Hasselt,1870,,4236.0
594,10115,Hasselt,1887,,6856.0
595,10115,Hasselt,1888,,6772.0
596,10115,Hasselt,1889,,
597,10115,Hasselt,1890,,
598,10116,De Werken En Sleeuwijk,1869,,5982.0
599,10116,De Werken En Sleeuwijk,1870,,1824.0
600,10116,De Werken En Sleeuwijk,1887,,5151.0
601,10116,De Werken En Sleeuwijk,1888,,4922.0
602,10116,De Werken En Sleeuwijk,1889,,
603,10116,De Werken En Sleeuwijk,1890,,
604,10118,Nuland,1869,,596.0
605,10118,Nuland,1870,,627.0
606,10118,Nuland,1887,,1556.0
607,10118,Nuland,1888,,1622.0
608,10118,Nuland,1889,,
609,10118,Nuland,1890,,
610,10119,Oerle,1869,,461.0
611,10119,Oerle,1870,,479.0
612,10119,Oerle,1887,,814.0
613,10119,Oerle,1888,,803.0
614,10119,Oerle,1889,,
615,10119,Oerle,1890,,
616,10120,Moordrecht,1869,,3366.0
617,10120,Moordrecht,1870,,3089.0
618,10120,Moordrecht,1887,,4737.0
619,10120,Moordrecht,1888,,4538.0
620,10120,Moordrecht,1889,,
621,10120,Moordrecht,1890,,
622,10121,Colijnsplaat,1869,,2055.0
623,10121,Colijnsplaat,1870,,2303.0
624,10121,Colijnsplaat,1887,,5051.0
625,10121,Colijnsplaat,1888,,5017.0
626,10121,Colijnsplaat,1889,,
627,10121,Colijnsplaat,1890,,
628,10122,Middelburg,1869,,26257.0
629,10122,Middelburg,1870,,26871.0
630,10122,Middelburg,1887,95.0,53701.0
631,10122,Middelburg,1888,97.0,53414.0
632,10122,Middelburg,1889,98.0,
633,10122,Middelburg,1890,97.0,
634,10125,Haaften,1869,,2505.0
635,10125,Haaften,1870,,2278.0
636,10125,Haaften,1887,,5381.0
637,10125,Haaften,1888,,4828.0
638,10125,Haaften,1889,,
639,10125,Haaften,1890,,
640,10125,Neerijnen,1869,,
641,10125,Neerijnen,1870,,
642,10125,Neerijnen,1887,,
643,10125,Neerijnen,1888,,
644,10125,Neerijnen,1889,,
645,10125,Neerijnen,1890,,
646,10126,Nieuwolda,1869,,2695.0
647,10126,Nieuwolda,1870,,11702.0
648,10126,Nieuwolda,1887,,8919.0
649,10126,Nieuwolda,1888,,9164.0
650,10126,Nieuwolda,1889,,
651,10126,Nieuwolda,1890,,
652,10127,Wessem,1869,,1186.0
653,10127,Wessem,1870,,1216.0
654,10127,Wessem,1887,,2503.0
655,10127,Wessem,1888,,2507.0
656,10127,Wessem,1889,,
657,10127,Wessem,1890,,
658,10128,Het Bildt F,1869,,8363.0
659,10128,Het Bildt F,1870,,8518.0
660,10128,Het Bildt F,1887,,22599.0
661,10128,Het Bildt F,1888,,21922.0
662,10128,Het Bildt F,1889,,
663,10128,Het Bildt F,1890,,
664,10129,Westdongeradeel,1869,,11699.0
665,10129,Westdongeradeel,1870,,12034.0
666,10129,Westdongeradeel,1887,,21100.0
667,10129,Westdongeradeel,1888,,21106.0
668,10129,Westdongeradeel,1889,,
669,10129,Westdongeradeel,1890,,
670,10130,Schipluiden,1869,,1401.0
671,10130,Schipluiden,1870,,1303.0
672,10130,Schipluiden,1887,,2851.0
673,10130,Schipluiden,1888,,2757.0
674,10130,Schipluiden,1889,,
675,10130,Schipluiden,1890,,
676,10131,Wijlre,1869,,797.0
677,10131,Wijlre,1870,,3241.0
678,10131,Wijlre,1887,,2240.0
679,10131,Wijlre,1888,,1960.0
680,10131,Wijlre,1889,,
681,10131,Wijlre,1890,,
682,10132,Schinnen,1869,,1144.0
683,10132,Schinnen,1870,,1037.0
684,10132,Schinnen,1887,,2665.0
685,10132,Schinnen,1888,,2647.0
686,10132,Schinnen,1889,,
687,10132,Schinnen,1890,,
688,10133,Oterleek,1869,,838.0
689,10133,Oterleek,1870,,881.0
690,10133,Oterleek,1887,,4558.0
691,10133,Oterleek,1888,,4269.0
692,10133,Oterleek,1889,,
693,10133,Oterleek,1890,,
694,10134,Oud-Vossemeer,1869,,1718.0
695,10134,Oud-Vossemeer,1870,,1889.0
